Review,Sentiment
служба доставка оставаться крайне негативный впечатление,0
недобросовестный транспортный компания,0
хорошо почта россия,0
ужасный контора,0
большой срок доставка нарушение срок посылка уходить город пора приходить мять,0
никто посоветовать,0
шарашка,0
вводить отдельный шкала отрицательный значение,0
обращаться сдэк значить потратить время нерв,0
потратить,0
контора рог копыто,0
ужасный служба доставка,0
ока,1
олень быстро,0
ложь наглость неорганизованность,0
очень печально,0
безответственный компания,0
это ужасный компания,0
наглеца лентяй,0
жесть,0
доставка плохой некуда,0
лохотрон,0
отличный работа,1
повесть печальный свет повесть доставка сдэк,0
компания шарлатан сплошной обман,0
посоветовать экспресс доставка,0
безответственность непрофессионализм,0
ужасно,0
это самый кошмарный служба доставка,0
сказать отзыв отрицательный компания это ничто сказать это отвратительный шарашкин конторишко существовать цензурный слово описывать негодование моральный материальный ущерб который причинять контора,0
абсолютный ужас,0
организация уважать свой клиент,0
вскрывать посылка,0
курьерский служба сдэк,0
решать кадр,0
ужасный доставка отдаленный регион хамство неизвестность,0
доставка апатит,0
клиент правый,0
очень,0
посредственно,0
ужас,0
связываться,0
надежный,0
никогда доставлять сдэк,0
мировой уровень качество считать наш обязанность достигать совершенство весь наш дело,0
плохой транспортный компания,0
испортить день рождение сын,0
связываться,0
вор,0
доставка посылка свой нерв,0
,1
качество услуга уровень почта россия,0
сдек самый плохой служба доставка который знать,0
рекомендовать,0
нормальный служба доставка,1
неплохой,1
сдек отвратительный компания,0
никогда,0
непорядочный человек,0
никогда никогда пользоваться данный доставка плохо сдэк ничто,0
самый тормозной курьерский компания,0
плохо служба доставка экспресс курьер сдэк встречать,0
низкий качество непрофессионализм,0
своевременность доставка груз,0
непригодный международный доставка,0
ужасно,0
видеть служба доставка сдэк обходить сторона,0
ужас день мочь доставлять зеленоград сколково никакой обратный связь,0
советовать,0
отвратительно,0
хороший транспортный компания,1
обращаться,0
плохой доставка мир,0
плохой доставка бывать,0
хотеть проблема сдэк,0
отвратительно,0
профессионализм далеко,0
отвратительный служба выходить работа разбивать посылка,0
хорошо почта россия,1
шок мрак очаяние,0
плохой почта россия,0
плохой некуда,0
сдэк испортить содержимое посылка претензия игнорировать,0
слабо,0
никогда связываться данный компания особенно получатель,0
сдек это хамство возврат посылка отправитель нос получатель,0
отвратительно,0
рекомендовать,0
волгодонск весь очень плохо,0
плохой компания доставка,0
никогда,0
отвратительный обратный связь клиент,0
отзыв начитываться отзыв бояться свой посылка,1
посредственно,0
полный отстой,0
смотреть отрицательный отзыв,1
отвратительный подход клиент,0
удобный быстро,1
сдэк отвратительный обслуживание,0
некомпетентный хам,0
увольнять,0
непрофессионализм сбор деньги,0
плохой компания,0
рекомендовать мочь подводить отзыв написать плюс,1
хорошо,1
курьерский служба доставка сдэк,0
отвратительный работа компания персонал,0
самый отвратительный видеть,0
хороший служба доставка,1
рекомендовать,1
это курьерский доставка это набор пунт самовывоз,0
рекомендовать,0
прекрасный организация работа,1
плохой служба доставка,0
отношение клиент ужасный горячий линия ничто никогда знать,0
спасибо работа весь высокий уровень,1
плохой работа,0
это иметь ничто общий служба доставка,0
украсть часть содержимый посылка,0
велоолимп,0
хорошоя отношнение человек рекомендовать,1
очень разный ощущение,0
ужасный компания выбирать доставка груз угодно ишак сдэк,0
деньги заплатить писать пропадать,0
очень плохо,0
год ничто меняться,0
некомпетентный разгильдяй,0
плохой компания сдэк,0
отвратительный контора,0
проблема получение акт выполнять работа кас чек отчет бухгалтерия,0
ужасно,0
самый непрофессиональный доставка,0
косяк косяк почта россия уметь,0
сервис бал,0
хорошо голубь,0
отвратительный работа,0
отвратительно,0
отвратительный,0
подтверждать время доставка,0
написать экспресс,0
дармоед,0
крайний безответственность,0
выбирать сдэк,0
пунктуальность,0
отвратительно,0
отстой,0
отвратительно,0
сдэк плохой,0
негодовать нормальный служба доставка,1
самый плохой компания,0
ужасно,0
жизнь обращаться данный компания,0
целое неплохо,1
самый ужасный курьерский доставка,0
камчатка остров способ доставка,0
ужасно,0
переставать нормально работать сентябрь год,0
марта заказывать товар который день курьерский служба сдэк калининград сегодня марта отчаиваться получать свой груз ежедневно звонить присылать смс доставлять уставать тратить свой нерв,0
жаль мочь поставлять плохой доставка,0
заказывать лекарство аптека,0
ниоднуть звезда поставлять письмо доставлять указанный срок ужасный обслуживание,0
отправлять посылка адрес,0
обидный очень ситуация,0
качество ухудшаться нарушаться срок доставка оперативный реакция компания,0
совершенно ужасный компания,0
ужасно долго,0
рекомендовать сдэк,0
сочи служба сдэк организовывать ужасно,0
ужас,0
это родственник почтароссия,0
полный безразлич хамство,0
бывать разный ситуация потерять пакет документ впервые жизнь,0
плохой некуда,0
быстро удобно,1
сдэк советовать,0
никогда пользоваться услуга,0
ужас,0
очень долго,0
отвратительный служба доставка,0
страдание,0
отмена доставка короткий рабочий день,0
случай доставлять хорошо испортить решать высказывать думать,0
доставка,0
ужас,0
ужасный уметь бережно обращаться товар клиент,0
тип работать бегать приходиться,0
плохой почта россия,0
экспресс доставка москва хабаровск день адекватный плата это оказываться реальность,1
безобразный контора,0
ужасно,0
рекомендовать,0
воровать,0
рекомендовать,0
почему посылка пересылать почта отправлять смс,0
предупреждение корпоративный клиент,0
шаражкин контора,0
плохой некуда,0
отвратительно настоятельно рекомендовать,0
никогда обращаться компания,0
никогда пользоваться услуга служба доставка сдэк,0
отдавать груз,0
простой человеческий отношение,0
сдек ужасный контора,0
служба сдэк портить человек нерв,0
отвратительно,0
это,0
ужасно,0
плохо,0
совковый контора,0
сдэк рекомендовать никто,0
безобразный компания встречать,0
отвратительный компания звезда заслуживать,0
ужасный сервис плохо знать,0
обман,0
сдэк накосячить конец никогда находить,0
отвратительно рекомендовать хорошо почта россия,0
удерживать посылка,0
абсолютно наплевательский отношение клиент,0
ужасно сдэк отдавать посылка,0
неожидать доставка,1
хороший доставка,0
хорошо крайний мера воронеж,1
отвратительный ужасный компания,0
удобно быстро экономично,1
отправка документ сдэк,0
любить выставлять клиент виноватый,0
сдэк отдавать посылка,0
безответственный компания лгун,0
ужас,0
удобно быстро надежно,1
плохо бывать,0
никогда пользоваться доставка сдэк,0
хотеть высыпаться выходной точно сдек,0
приемлимый цена ужасный курьерский доставка,0
сдэк отстой,0
отвратительный отношение заказчик,0
сдек курьерский компания очень безответственный,0
вроде норма,1
сдэк хотеть потерять груз обращаться сдэк,0
никогда воспользоваться,0
конченый компания,0
хрустальный крошка заказывать,0
река входить дважды попытка,0
отказывать страховка,0
плохо экспресс доставка бывать,0
лидер среди плохой,0
плохо,0
плохой некуда,0
отвратительно,0
доставка отвратительный,0
принцип терпимо,1
плохой компания доставка,0
положительный эмоция обслуживание высота скриншот,1
служба доставка,0
хамство бардак стресс получать,0
пешком быстро,0
отвратительный служба доставка,0
ужасный компания сдек,0
жесть сдэк,0
сдек самый плохой доставка,0
очень плохо,0
транспортный компания сдэк советовать,0
кошмар контора дно,0
лентяй,0
хамство скрываться вежливый улыбочка,0
обходить сторона транспортный компания,0
хамство стороный сотрудница пункт выдача подмосковный ивантеевка,0
это провал,0
служба недоставка,0
плохо организация видеть,0
сначала заплатить оказывать услуга вернуть деньги,0
оперативный удобный доставка,1
никогда пользоваться служба доставка,0
отвратительный обслуживание,0
свинский отношение клиент,0
никто отвечать деньги брать весь,0
