Review,Rating
О службе доставке остались крайне негативное впечатление,1
НЕДОБРОСОВЕСТНАЯ транспортная компания СDEK.,1
Получше чем Почта России!,3
Ужасная контора.,1
"Большие сроки доставки, нарушение сроков, посылки иногда уходят в другие города, порой приходят мятые",1
Никому не посоветую,1
Шарашка,1
Для этих надо ввести отдельную шкалу с отрицательными значениями.,1
Обратится в СДЭК значит потратить время и нервы.,1
Потрачено....,1
Контора Рога И Копыта,1
УЖАСНАЯ СЛУЖБА ДОСТАВКИ,1
ОК,5
Оленями быстрее.,1
Ложь. Наглость. Неорганизованность.,1
все очень печально,1
Безответственная компания,1
Это ужасная компания!!?,1
Наглецы и лентяи.,1
ЖЕСТЬ!!,1
Доставка хуже некуда.,1
лохотрон,1
Отличная работа!,5
"Нет повести печальнее на свете, чем повесть о доставке СДЭКом",1
Компания шарлатанов! Сплошной ОБМАН!,1
Ни кому не посоветую такую &quot;экспресс доставку&quot;,1
Безответственность и непрофессионализм,1
ужасно,1
Это самая кошмарная служба доставки!,1
"Сказать, что мой отзыв отрицательный об этой компании-это ничего не сказать!!! Это отвратительная шарашкина конторишка!!!!!Не существует цензурных слов, чтобы описать мое негодование, мой моральный и материальный ущерб, который причинила эта контора!!!! Я",1
Абсолютный ужас,1
Организация не уважающая своих клиентов,1
Вскрыли посылку,1
Курьерская служба СДЭК,1
Все решают кадры,3
"Ужасная доставка в отдаленные регионы, хамство и неизвестность",1
Доставка в Апатиты,1
Клиент всегда прав,1
Не очень,2
Посредственно,1
Ужас,1
Не связывайтесь,1
Не надежная,1
никогда не доставляйте СДЭКОМ,1
Мировой уровень качества. Мы считаем нашей обязанностью достичь совершенства во всех наших делах,1
Плохая транспортная компания,1
Испортили День рождения сына.,1
Даже не связывайтесь с ними,1
Воры,1
Доставка посылки за свои нервы.,1
Всё бы ничего...,4
Качество услуг на уровне почты россии,1
"Сдек - самая плохая служба доставки, которую я знаю.",1
не рекомендую,1
Нормальная служба доставки.,4
Неплохая,4
СДЕК отвратительная компания.,1
никогда,1
Непорядочные люди,1
Никогда! Никогда не пользуйтесь данной доставкой! Хуже чем СДЭК нет ничего.,1
Самая тормозная курьерская компания!,1
Хуже чем Служба Доставки Экспресс-Курьер СДЭК не встречал,1
Низкое качество и непрофессионализм,1
своевременность доставки груза,1
Непригодна для международных доставок,1
Ужасно,1
Видите что служба доставки Сдэк - обходите стороной!,1
"Ужас, 11й день не могут доставить из Зеленограда в Сколково!!! Никакой обратной связи",1
Не советую,1
Отвратительно!,1
Одна из лучших транспортных компаний,5
Больше не обращусь,1
Худшая доставка в мире,1
Хуже доставки не бывает,1
Хотите себе проблем? Тогда Вам в СДЭК,1
Отвратительно,2
До профессионализма далеко,2
"Отвратительная служба. Не выходят на работу,  разбивают посылки..",1
лучше &quot;почты России&quot;!,5
"Шок, мрак, очаяние",1
Хуже Почты России,1
Хуже некуда,1
"СДЭК испортили содержимое посылки, претензии игнорируют.",3
Слабо!,1
"Никогда не связывайтесь с данной компанией, особенно как получатель",1
СДЕК - это хамство + возврат посылки отправителю &quot;из под носа&quot; получателя.,1
отвратительно!!!,1
Не рекомендую!!!,1
В Волгодонске все очень плохо,1
Худшая компания доставки,1
Больше никогда!!!,1
отвратительная обратная связь с клиентами,1
"Отзыв для тех, кто начитавшись отзывов тут, бояться за свою посылку",5
Посредственно,1
Полный отстой,1
Не смотрите на отрицательные отзывы,5
Отвратительный подход к клиентам!,1
Удобно и быстро,5
СДЭК = Отвратительное обслуживание,1
Некомпетентные хамы,1
уволить,1
Непрофессионализм и сбор денег,1
плохая компания,1
"Рекомендовать могу, Не подводила (в отзыве напишу плюсы).",5
Лучше чем ПР.,4
Курьерская служба доставки&quot;СДЭК&quot;,1
отвратительная работа компании и персонала!,1
"Самая отвратительная ТК из всех, что я видел",1
Хорошая служба доставки,5
Рекомендую,4
"Это не курьерская доставка, это набор пунтов самовывоза",1
Не рекомендую,1
Прекрасная организация работы,5
Худшая служба доставки,1
Отношение к клиентам ужасное! На горячей линии ничего никогда не знают!,1
Спасибо за работу!Все на высшем уровне!!!,5
плохая работа,2
Это не имеет ничего общего со службой доставки,1
Украли часть содержимого посылки,1
Велоолимп,1
Хорошое отношнение к людям. Рекомендую!,5
Очень разные ощущения,2
"Ужасная компания! Выбирайте для доставки груза кого и что угодно, хоть ишака, но только не &quot;СДЭК&quot;.",1
Если деньги заплачены — пиши пропало,1
Очень плохо,1
С ГОДАМИ НИЧЕГО НЕ МЕНЯЕТСЯ,1
Некомпетентные разгильдяи,1
Плохая компания Сдэк,1
Отвратительная контора!!,1
"проблема с получением актов выполненных работ, кас.чеков, для отчета бухгалтерии",1
Ужасно,1
Самая непрофессиональная доставка,1
"Косяк на косяке, Почта России так не умеет",1
Сервис на 3 бала.,3
Лучше уж голубями,2
Отвратительная работа CDEK,1
Отвратительно!!!,1
Отвратительная ТК,1
Зачем подтверждать время доставки?,2
Написано экспресс.,1
Дармоеды,1
крайняя безответственность,1
не выбирайте СДЭК,1
Пунктуальность,2
Отвратительно!,1
Отстой:(,1
Отвратительно,1
СДЭК- худшая ТК !,1
"И чего все негодуют, нормальная служба доставки.",4
Самая худшая компания,1
Ужасно!!!!,1
В жизни больше не обращусь в данную компанию...,1
В целом неплохо.,4
Самая ужасная курьерская доставка!,1
"Камчатка не остров, есть другие способы доставки.",2
ужасно,1
Перестали нормально работать с сентября 2016 года,1
"2 марта был заказан товар, который через два дня был в курьерской службе Сдэк Калининград.  Сегодня 22 марта. Уже отчаялась получить свой груз. Ежедневно звонят и присылают смс о том, что с 8 до 18 доставят.  Устала тратить свои нервы.",1
"Жаль, что не могу поставить 0! Худшая доставка!",1
Заказала лекарство в аптеке,2
"Если бы можно было я бы ниодну звезду не поставила. Письмо было не доставлено в указанные сроки, ужасное обслуживание.",1
Отправляют посылки по другому адресу,1
Обидная очень ситуация,1
Качество ухудшилось. Нарушаются сроки доставки. Нет оперативной реакции от компании.,1
Совершенно ужасная компания,1
Ужасно долго,1
Не рекомендую СДЭК!!!,1
В Сочи служба СДЭК организована ужасно,1
Ужас,1
Это родственники ПочтаРоссии,1
Полное безразличе и хамство,1
Бывают разные ситуации - но потерять пакет с документами....впервые в жизни.,3
Хуже некуда!!!,1
Быстро и удобно!,5
СДЭК. Не советую,1
НИКОГДА И НИ ЗА ЧТО НЕ ПОЛЬЗУЙТЕСЬ ИХ УСЛУГАМИ!!!,1
Ужас!,1
Очень долго,2
отвратительная служба доставки,1
страдание,1
"Отмены доставки, короткий рабочий день",2
"До этого случая доставляли хорошо, но этот раз все испортил и я решил высказать все, что думаю.",1
Доставка CDEK,1
Ужас,1
"Ужасная ТК, не умеют бережно обращаться с товаром клиента!",1
"Типа все работают, но бегать приходится самому.",1
Хуже почты России,1
Экспресс -доставка Москва-Хабаровск  за 1 день и адекватную плату - это оказалось реальностью!,5
Безобразная контора,1
Ужасно,1
Не рекомендую,1
Воруют !,1
не рекомендую,1
почему посылку не переслали на почту?не отправили смс?,1
Предупреждение для корпоративных клиентов.,2
Шаражкина контора,1
Хуже некуда,1
Отвратительно. Настоятельно НЕ рекомендую.,1
Никогда не обращайтесь в эту компанию!!,1
НИКОГДА не пользуйтесь услугами службы доставки СДЭК.,1
,4
Не отдают груз!,1
Нет простого человеческого отношения,1
СДЕК ужасная КОНТОРА,1
Служба СДЭК портит людям нервы!,1
Отвратительно,1
Что это?,2
Ужасно,1
Плохо,2
Совковая контора,1
СДЭК не рекомендую никому,1
Более безобразной компании еще не встречала.,1
Отвратительная компания. Даже одной звезды не заслуживает.,1
"Ужасный сервис, хуже не знаю",1
ОБМАН,1
Если СДЭК накосячит то концов никогда не найдете,1
ОТВРАТИТЕЛЬНО!!! НЕ РЕКОМЕНДУЮ! Лучше уж Почта России.,1
Удерживают мою посылку,1
Абсолютно наплевательское отношение к клиентам,1
УЖАСНО! СДЭК не отдает посылку!,1
"Неожидала, но доставка на 5！",5
«Лучшая доставка»,1
"Все хорошо, по крайней мере в Воронеже",5
Отвратительная и ужасная компания!,1
"Удобно, быстро и экономично.",5
Отправка документов через СДЭК,3
Любят выставить клиента виноватым,1
СДЭК не отдает посылку.,3
Безответственная компания и лгуны,1
Ужас!!!,1
"Удобно, быстро, надежно",5
Хуже не бывает,1
Никогда не пользоваться доставкой СДЭК,1
"Если хотите выспаться в выходной, то точно не СДЕК!!!",2
"Приемлимые цены, ужасная курьерская доставка.",2
СДЭК-отстой!,1
отвратительное отношение к заказчику,1
СДЕК как курьерская компания очень безответственная,1
Да вроде норм),5
СДЭК- хотите потерять груз- обращайтесь в сдэк,1
Никогда больше не воспользуюсь)),1
cdek    конченая компания,1
Хрустальную крошку заказывали?,1
В одну и ту же реку нельзя войти дважды | CDEK попытка №2,1
Отказали в страховке,1
Хуже экспресс-доставки не бывает!,2
лидер среди худших,1
Плохо,1
